cab_type,price,day
Uber,26.0,Afternoon
Uber,6.5,Afternoon
Lyft,10.5,Morning
Lyft,27.5,Afternoon
Lyft,19.5,Morning
Lyft,7.0,Morning
Lyft,22.5,Morning
Lyft,38.5,Evening
Uber,17.0,Afternoon
Uber,11.0,Afternoon
Uber,35.0,Night
Uber,24.0,Morning
Uber,10.5,Afternoon
Uber,10.5,Morning
Lyft,13.5,Morning
Lyft,22.5,Afternoon
Lyft,27.5,Morning
Lyft,5.0,Morning
Lyft,7.0,Morning
Lyft,19.5,Night
Lyft,38.5,Morning
Lyft,27.5,Evening
Lyft,16.5,Morning
Lyft,10.5,Evening
Lyft,19.5,Afternoon
Lyft,9.0,Evening
Uber,10.5,Morning
Uber,17.0,Morning
Uber,27.0,Night
Uber,10.5,Evening
Uber,18.0,Afternoon
Uber,10.0,Afternoon
Lyft,11.0,Evening
Lyft,9.0,Evening
Lyft,26.0,Morning
Lyft,7.0,Evening
Lyft,16.5,Evening
Lyft,3.5,Morning
Uber,8.5,Evening
Uber,13.0,Afternoon
Uber,8.5,Morning
Uber,27.5,Morning
Uber,17.5,Morning
Uber,8.5,Afternoon
Lyft,5.0,Afternoon
Lyft,13.5,Afternoon
Lyft,7.0,Morning
Lyft,26.0,Afternoon
Lyft,11.0,Morning
Lyft,16.5,Evening
Uber,8.0,Night
Uber,8.5,Evening
Uber,16.0,Evening
Uber,23.0,Night
Uber,12.5,Afternoon
Uber,8.5,Morning
Uber,9.5,Evening
Uber,9.5,Evening
Uber,17.5,Afternoon
Uber,31.5,Night
Uber,8.5,Evening
Uber,19.5,Morning
Lyft,16.5,Morning
Lyft,27.5,Morning
Lyft,13.5,Morning
Lyft,22.5,Morning
Lyft,7.0,Morning
Lyft,9.0,Morning
Uber,8.0,Morning
Uber,14.5,Morning
Uber,34.0,Night
Uber,34.0,Morning
Uber,43.0,Afternoon
Uber,6.5,Night
Uber,26.0,Morning
Uber,10.5,Evening
Uber,20.5,Afternoon
Uber,16.0,Night
Lyft,13.5,Evening
Lyft,9.0,Night
Lyft,22.5,Morning
Lyft,30.0,Morning
Lyft,16.5,Night
Lyft,7.0,Morning
Uber,7.0,Morning
Lyft,19.5,Evening
Lyft,7.0,Night
Lyft,22.5,Afternoon
Lyft,10.5,Morning
Lyft,16.5,Afternoon
Lyft,32.5,Afternoon
Uber,10.5,Afternoon
Uber,7.0,Night
Uber,7.0,Evening
Uber,6.0,Evening
Uber,15.0,Morning
Uber,27.5,Night
Uber,9.5,Afternoon
Uber,28.0,Morning
Uber,16.0,Evening
Uber,9.5,Morning
Uber,10.0,Morning
Uber,21.0,Morning
Uber,6.5,Morning
Uber,7.5,Afternoon
Uber,11.5,Morning
Uber,7.5,Morning
Uber,27.5,Evening
Uber,15.0,Morning
Lyft,27.5,Morning
Lyft,7.0,Night
Lyft,13.5,Evening
Lyft,5.0,Morning
Lyft,13.5,Evening
Lyft,16.5,Afternoon
Uber,19.5,Afternoon
Uber,12.5,Evening
Uber,19.5,Morning
Uber,28.5,Morning
Uber,12.5,Morning
Uber,12.5,Evening
Uber,11.5,Night
Uber,16.5,Evening
Uber,26.5,Evening
Uber,7.5,Afternoon
Uber,7.5,Afternoon
Lyft,10.5,Morning
Lyft,13.5,Morning
Lyft,7.0,Afternoon
Lyft,16.5,Morning
Lyft,22.5,Afternoon
Lyft,27.5,Morning
Lyft,10.5,Night
Lyft,10.5,Morning
Lyft,27.5,Morning
Lyft,3.0,Evening
Lyft,16.5,Evening
Lyft,7.0,Afternoon
Uber,16.0,Afternoon
Uber,9.5,Afternoon
Uber,27.0,Morning
Uber,9.0,Afternoon
Uber,16.0,Morning
Uber,9.5,Evening
Lyft,11.0,Morning
Lyft,26.0,Afternoon
Lyft,7.0,Evening
Lyft,13.5,Morning
Lyft,16.5,Morning
Lyft,5.0,Evening
Lyft,11.0,Morning
Lyft,9.0,Afternoon
Lyft,7.0,Afternoon
Lyft,16.5,Morning
Lyft,3.5,Evening
Lyft,26.0,Afternoon
Uber,30.5,Afternoon
Uber,23.0,Morning
Uber,9.5,Afternoon
Uber,9.5,Morning
Uber,16.0,Night
Uber,9.0,Morning
Lyft,32.5,Morning
Lyft,10.5,Evening
Lyft,22.5,Morning
Lyft,7.0,Morning
Lyft,13.5,Night
Lyft,16.5,Afternoon
Lyft,30.0,Morning
Lyft,9.0,Morning
Lyft,22.5,Morning
Lyft,13.5,Night
Lyft,7.0,Morning
Uber,9.5,Night
Uber,20.5,Morning
Uber,15.0,Evening
Uber,27.5,Afternoon
Uber,8.0,Night
Uber,9.5,Morning
Lyft,26.0,Evening
Lyft,7.0,Afternoon
Lyft,13.5,Morning
Lyft,19.5,Evening
Lyft,13.5,Night
Lyft,3.5,Evening
Lyft,22.5,Afternoon
Lyft,45.5,Afternoon
Lyft,38.5,Evening
Lyft,27.5,Night
Lyft,10.5,Morning
Lyft,13.5,Night
Uber,16.0,Night
Uber,24.0,Morning
Uber,8.5,Evening
Uber,9.5,Morning
Uber,9.5,Morning
Uber,32.5,Evening
Lyft,13.5,Morning
Lyft,27.5,Afternoon
Lyft,16.5,Evening
Lyft,5.0,Evening
Lyft,19.5,Morning
Lyft,9.0,Evening
Uber,15.0,Afternoon
Uber,17.5,Morning
Uber,9.5,Night
Uber,31.5,Night
Uber,19.5,Night
Uber,9.5,Morning
Uber,8.5,Evening
Uber,27.0,Morning
Uber,15.5,Evening
Uber,6.5,Evening
Uber,11.5,Night
Uber,7.5,Night
Uber,7.5,Evening
Lyft,16.5,Afternoon
Lyft,16.5,Evening
Lyft,22.5,Night
Lyft,10.5,Afternoon
Lyft,32.5,Night
Lyft,22.5,Night
Lyft,9.0,Afternoon
Lyft,34.0,Night
Lyft,3.5,Afternoon
Lyft,26.0,Afternoon
Lyft,42.5,Evening
Lyft,13.5,Night
Lyft,13.5,Evening
Lyft,26.0,Morning
Lyft,16.5,Evening
Lyft,7.0,Night
Lyft,11.0,Morning
Lyft,10.5,Evening
Lyft,27.5,Morning
Lyft,19.5,Afternoon
Lyft,16.5,Night
Lyft,32.5,Morning
Lyft,7.0,Night
Uber,15.0,Evening
Uber,7.0,Evening
Uber,8.5,Morning
Uber,7.0,Afternoon
Uber,27.5,Morning
Uber,7.0,Morning
Lyft,13.5,Afternoon
Lyft,42.5,Evening
Lyft,34.0,Afternoon
Lyft,22.5,Morning
Lyft,26.0,Afternoon
Lyft,9.0,Morning
Uber,7.0,Morning
Uber,8.5,Afternoon
Uber,15.0,Afternoon
Uber,7.0,Afternoon
Uber,7.0,Night
Uber,8.5,Morning
Uber,8.5,Afternoon
Uber,12.5,Evening
Uber,16.0,Afternoon
Uber,6.5,Evening
Uber,7.5,Morning
Uber,27.5,Evening
Uber,8.0,Evening
Uber,12.0,Evening
Uber,16.0,Afternoon
Lyft,13.5,Evening
Lyft,30.0,Afternoon
Lyft,9.0,Evening
Lyft,16.5,Evening
Lyft,7.0,Evening
Lyft,22.5,Afternoon
Uber,14.0,Night
Uber,8.5,Morning
Uber,9.0,Evening
Uber,29.5,Evening
Uber,18.5,Evening
Uber,8.5,Night
Lyft,10.5,Night
Lyft,16.5,Evening
Lyft,7.0,Afternoon
Lyft,27.5,Afternoon
Lyft,19.5,Evening
Uber,8.5,Evening
Uber,30.5,Morning
Uber,22.5,Morning
Uber,15.0,Evening
Uber,8.5,Evening
Uber,7.5,Evening
Uber,8.5,Morning
Uber,8.5,Morning
Uber,26.5,Afternoon
Uber,8.5,Morning
Uber,13.0,Morning
Uber,16.0,Evening
Uber,21.5,Afternoon
Uber,9.5,Evening
Uber,28.5,Morning
Uber,15.5,Morning
Uber,9.0,Morning
Uber,9.5,Evening
Uber,7.0,Morning
Uber,7.0,Night
Uber,15.0,Evening
Uber,7.0,Afternoon
Uber,27.5,Afternoon
Uber,10.5,Morning
Lyft,10.5,Morning
Lyft,22.5,Night
Lyft,16.5,Afternoon
Lyft,32.5,Evening
Lyft,16.5,Night
Lyft,7.0,Evening
Uber,41.5,Night
Uber,32.5,Evening
Uber,12.5,Evening
Uber,9.0,Night
Uber,20.5,Morning
Uber,8.0,Morning
Uber,11.0,Night
Uber,17.5,Night
Uber,10.0,Morning
Uber,35.0,Night
Uber,27.0,Morning
Uber,11.0,Night
Lyft,10.5,Morning
Lyft,16.5,Afternoon
Lyft,10.5,Morning
Lyft,7.0,Night
Lyft,5.0,Night
Lyft,27.5,Morning
Lyft,13.5,Morning
Lyft,16.5,Afternoon
Lyft,5.0,Morning
Lyft,11.0,Evening
Lyft,7.0,Evening
Lyft,26.0,Evening
Lyft,16.5,Morning
Lyft,9.0,Night
Lyft,3.5,Morning
Lyft,30.0,Morning
Lyft,13.5,Evening
Uber,5.5,Evening
Uber,9.5,Morning
Uber,15.0,Evening
Uber,6.5,Morning
Uber,11.5,Morning
Uber,8.0,Night
Uber,8.0,Night
Lyft,13.5,Morning
Lyft,16.5,Night
Lyft,9.0,Afternoon
Lyft,7.0,Night
Uber,27.5,Morning
Uber,9.0,Morning
Uber,9.0,Morning
Uber,9.0,Evening
Uber,14.0,Night
Uber,18.0,Evening
Lyft,3.0,Evening
Uber,7.5,Afternoon
Uber,16.0,Afternoon
Uber,26.0,Morning
Uber,11.0,Morning
Uber,7.5,Morning
Uber,7.0,Afternoon
Uber,9.5,Morning
Uber,8.5,Afternoon
Uber,9.5,Night
Uber,8.0,Morning
Uber,14.0,Morning
Uber,18.5,Evening
Uber,30.5,Morning
Uber,17.0,Morning
Uber,10.0,Morning
Uber,23.0,Morning
Uber,26.0,Night
Uber,8.5,Morning
Lyft,5.0,Evening
Lyft,13.5,Morning
Lyft,19.5,Morning
Lyft,9.0,Evening
Lyft,13.5,Morning
Lyft,27.5,Morning
Uber,14.0,Evening
Uber,10.5,Night
Uber,10.5,Evening
Uber,20.5,Night
Uber,11.0,Afternoon
Lyft,13.5,Morning
Lyft,19.5,Morning
Lyft,5.0,Evening
Lyft,9.0,Morning
Lyft,26.0,Morning
Lyft,16.5,Evening
Uber,9.5,Afternoon
Uber,14.0,Afternoon
Uber,9.5,Morning
Uber,18.5,Morning
Uber,29.0,Morning
Lyft,16.5,Morning
Lyft,57.5,Morning
Lyft,30.0,Morning
Lyft,42.5,Afternoon
Lyft,34.0,Evening
Uber,10.5,Afternoon
Uber,10.5,Evening
Uber,29.5,Evening
Uber,17.0,Morning
Uber,9.5,Morning
Uber,22.5,Evening
Lyft,27.5,Morning
Uber,9.0,Morning
Uber,17.5,Night
Lyft,7.0,Evening
Lyft,10.5,Morning
Lyft,5.0,Afternoon
Lyft,27.5,Morning
Lyft,16.5,Night
Uber,7.0,Evening
Uber,27.5,Morning
Uber,7.0,Evening
Uber,7.0,Evening
Uber,9.5,Night
Uber,15.0,Morning
Lyft,38.5,Afternoon
Lyft,27.5,Afternoon
Lyft,55.0,Night
Lyft,16.5,Morning
Lyft,32.5,Morning
Lyft,10.5,Afternoon
Uber,36.0,Night
Uber,28.0,Evening
Uber,18.5,Afternoon
Uber,18.5,Morning
Uber,14.5,Afternoon
Uber,29.5,Afternoon
Uber,13.5,Afternoon
Uber,9.0,Night
Uber,17.5,Afternoon
Uber,9.0,Night
Uber,9.0,Evening
Uber,26.0,Night
Uber,15.0,Morning
Uber,19.5,Morning
Uber,8.0,Morning
Uber,9.5,Morning
Uber,9.5,Afternoon
Uber,28.0,Morning
Lyft,16.5,Morning
Lyft,19.5,Evening
Lyft,32.5,Morning
Lyft,22.5,Morning
Lyft,7.0,Night
Lyft,13.5,Evening
Lyft,7.0,Evening
Lyft,22.5,Morning
Lyft,32.5,Morning
Lyft,10.5,Afternoon
Lyft,16.5,Morning
Uber,17.0,Morning
Uber,10.0,Morning
Uber,29.5,Afternoon
Uber,10.5,Morning
Uber,22.5,Afternoon
Uber,10.5,Morning
Lyft,9.0,Morning
Lyft,26.0,Evening
Lyft,34.0,Afternoon
Lyft,7.0,Evening
Lyft,19.5,Afternoon
Lyft,16.5,Evening
Uber,28.5,Morning
Uber,16.0,Afternoon
Uber,27.0,Night
Uber,43.5,Morning
Uber,16.0,Night
Uber,12.0,Night
Uber,13.0,Afternoon
Uber,18.0,Evening
Uber,7.5,Morning
Uber,28.5,Afternoon
Uber,13.0,Morning
Uber,6.5,Evening
Uber,8.5,Evening
Uber,8.5,Afternoon
Uber,17.0,Afternoon
Uber,27.5,Morning
Lyft,22.5,Morning
Lyft,27.5,Night
Lyft,7.0,Morning
Lyft,10.5,Afternoon
Lyft,38.5,Afternoon
Lyft,16.5,Evening
Uber,11.5,Evening
Uber,21.5,Afternoon
Uber,30.5,Afternoon
Uber,11.5,Morning
Uber,10.0,Morning
Uber,12.5,Afternoon
Uber,11.0,Morning
Lyft,11.0,Morning
Lyft,26.0,Afternoon
Lyft,34.0,Morning
Lyft,16.5,Morning
Lyft,7.0,Afternoon
Lyft,19.5,Morning
Uber,14.5,Morning
Uber,7.5,Morning
Uber,7.0,Morning
Uber,10.5,Night
Uber,7.0,Morning
Uber,23.0,Morning
Lyft,16.5,Night
Lyft,26.0,Morning
Lyft,7.0,Evening
Lyft,11.0,Evening
Lyft,3.5,Morning
Lyft,13.5,Night
Uber,13.0,Morning
Uber,7.5,Afternoon
Uber,26.0,Morning
Uber,18.0,Morning
Uber,7.5,Afternoon
Uber,9.0,Morning
Uber,26.0,Night
Uber,9.0,Night
Uber,14.5,Morning
Uber,19.5,Evening
Uber,8.0,Morning
Lyft,30.0,Night
Lyft,13.5,Afternoon
Lyft,16.5,Morning
Lyft,9.0,Morning
Lyft,22.5,Morning
Lyft,3.5,Afternoon
Lyft,22.5,Night
Lyft,7.0,Morning
Lyft,27.5,Morning
Lyft,10.5,Afternoon
Lyft,13.5,Morning
Uber,7.5,Afternoon
Lyft,7.0,Evening
Lyft,13.5,Night
Lyft,5.0,Morning
Lyft,16.5,Morning
Lyft,13.5,Morning
Lyft,26.0,Morning
Uber,26.0,Night
Uber,8.0,Night
Uber,8.0,Morning
Uber,8.0,Night
Uber,18.5,Morning
Uber,14.0,Evening
Uber,27.5,Evening
Uber,7.5,Afternoon
Uber,7.5,Morning
Uber,15.0,Afternoon
Uber,10.5,Morning
Uber,25.0,Morning
Uber,8.0,Evening
Uber,11.0,Afternoon
Uber,18.5,Afternoon
Lyft,13.5,Morning
Lyft,5.0,Night
Lyft,19.5,Evening
Lyft,7.0,Night
Lyft,26.0,Morning
Lyft,13.5,Morning
Uber,8.5,Evening
Uber,8.5,Afternoon
Uber,13.0,Afternoon
Uber,16.0,Morning
Uber,25.0,Night
Uber,8.5,Evening
Lyft,3.0,Evening
Lyft,7.0,Night
Lyft,27.5,Morning
Lyft,16.5,Night
Lyft,10.5,Morning
Lyft,10.5,Night
Uber,8.0,Morning
Uber,13.5,Morning
Uber,28.5,Afternoon
Uber,8.5,Morning
Uber,8.5,Morning
Lyft,19.5,Morning
Lyft,27.5,Morning
Lyft,13.5,Evening
Lyft,5.0,Evening
Lyft,13.5,Evening
Lyft,7.0,Morning
Uber,10.0,Evening
Uber,27.0,Morning
Uber,36.0,Night
Uber,9.5,Afternoon
Uber,17.5,Evening
Uber,9.5,Morning
Uber,17.5,Morning
Uber,8.5,Night
Uber,9.0,Afternoon
Uber,8.5,Evening
Uber,31.5,Morning
Uber,20.5,Morning
Uber,7.5,Morning
Uber,27.5,Evening
Uber,7.5,Evening
Uber,15.0,Morning
Uber,11.5,Afternoon
Uber,7.5,Morning
Lyft,11.0,Morning
Lyft,30.0,Morning
Lyft,22.5,Afternoon
Lyft,9.0,Morning
Lyft,19.5,Morning
Lyft,10.5,Morning
Lyft,27.5,Afternoon
Lyft,3.0,Afternoon
Lyft,7.0,Evening
Lyft,16.5,Morning
Lyft,10.5,Morning
Uber,9.5,Afternoon
Uber,9.5,Afternoon
Uber,13.0,Evening
Uber,7.0,Night
Uber,26.5,Morning
Uber,31.5,Morning
Uber,15.0,Evening
Uber,9.0,Morning
Uber,20.5,Afternoon
Uber,9.5,Morning
Uber,9.5,Afternoon
Uber,11.0,Afternoon
Uber,35.5,Morning
Uber,11.0,Night
Uber,27.0,Morning
Uber,9.0,Night
Uber,17.5,Morning
Lyft,11.0,Morning
Lyft,26.0,Evening
Lyft,7.0,Morning
Lyft,34.0,Morning
Lyft,16.5,Morning
Uber,41.0,Afternoon
Uber,13.0,Afternoon
Uber,23.5,Morning
Uber,13.0,Afternoon
Uber,10.0,Night
Uber,27.5,Morning
Lyft,27.5,Evening
Lyft,16.5,Afternoon
Lyft,10.5,Afternoon
Lyft,7.0,Morning
Lyft,13.5,Afternoon
Lyft,3.0,Night
Lyft,27.5,Morning
Lyft,16.5,Morning
Lyft,19.5,Afternoon
Lyft,13.5,Afternoon
Lyft,3.0,Night
Lyft,9.0,Afternoon
Uber,18.0,Morning
Uber,32.5,Night
Uber,9.0,Night
Uber,9.0,Night
Uber,20.5,Morning
Uber,9.0,Night
Lyft,16.5,Afternoon
Lyft,7.0,Afternoon
Lyft,19.5,Night
Lyft,11.0,Morning
Lyft,34.0,Night
Lyft,26.0,Morning
Lyft,13.5,Night
Lyft,10.5,Evening
Lyft,27.5,Evening
Lyft,7.0,Evening
Lyft,16.5,Night
Lyft,3.0,Morning
Uber,20.5,Night
Uber,8.0,Afternoon
Uber,15.0,Afternoon
Uber,11.5,Morning
Uber,11.5,Morning
Uber,31.0,Morning
Uber,9.5,Morning
Uber,8.5,Morning
Uber,9.5,Morning
Uber,33.0,Evening
Uber,17.0,Night
Uber,25.0,Morning
Uber,23.0,Afternoon
Uber,14.5,Afternoon
Uber,7.0,Evening
Uber,7.0,Afternoon
Uber,10.5,Night
Uber,7.0,Morning
Lyft,16.5,Morning
Lyft,10.5,Night
Lyft,5.0,Afternoon
Lyft,13.5,Morning
Lyft,9.0,Afternoon
Lyft,27.5,Night
Uber,11.0,Night
Uber,38.0,Afternoon
Uber,19.5,Afternoon
Uber,11.5,Morning
Uber,29.5,Morning
Uber,23.0,Night
Uber,17.5,Evening
Uber,33.5,Afternoon
Uber,11.0,Afternoon
Uber,10.5,Evening
Uber,10.5,Night
Lyft,16.5,Morning
Lyft,13.5,Morning
Lyft,22.5,Morning
Lyft,32.5,Evening
Lyft,7.0,Night
Lyft,10.5,Evening
Uber,28.5,Morning
Uber,10.5,Morning
Uber,10.0,Morning
Uber,26.0,Morning
Uber,7.0,Evening
Uber,15.5,Morning
Uber,9.5,Morning
Uber,9.5,Morning
Uber,7.0,Night
Uber,16.0,Morning
Uber,21.5,Afternoon
Uber,7.5,Afternoon
Uber,33.0,Night
Uber,23.0,Morning
Uber,10.5,Afternoon
Uber,18.0,Morning
Uber,10.5,Night
Uber,10.0,Morning
Uber,26.0,Afternoon
Uber,6.5,Night
Uber,7.0,Evening
Lyft,26.0,Night
Lyft,19.5,Morning
Lyft,34.0,Morning
Lyft,16.5,Evening
Lyft,7.0,Morning
Lyft,11.0,Morning
Uber,10.5,Evening
Uber,31.0,Night
Uber,24.0,Afternoon
Uber,11.0,Afternoon
Uber,17.5,Morning
Uber,33.0,Night
Uber,8.5,Afternoon
Uber,17.0,Afternoon
Uber,8.5,Night
Uber,19.5,Morning
Uber,8.5,Evening
Uber,28.0,Morning
Uber,9.0,Evening
Uber,9.0,Afternoon
Uber,8.5,Evening
Uber,20.5,Morning
Uber,15.0,Evening
Uber,14.0,Afternoon
Uber,8.5,Evening
Uber,8.5,Morning
Uber,6.5,Night
Uber,26.0,Night
Uber,16.0,Night
Uber,8.5,Morning
Uber,9.5,Afternoon
Uber,18.5,Morning
Uber,15.0,Night
Uber,26.0,Morning
Uber,9.5,Morning
Lyft,7.0,Evening
Lyft,10.5,Morning
Lyft,27.5,Night
Lyft,10.5,Afternoon
Lyft,16.5,Morning
Lyft,5.0,Morning
Lyft,16.5,Afternoon
Lyft,5.0,Night
Lyft,11.0,Morning
Lyft,13.5,Morning
Lyft,26.0,Morning
Uber,9.5,Morning
Uber,20.5,Afternoon
Lyft,9.0,Morning
Lyft,16.5,Evening
Lyft,22.5,Night
Lyft,3.5,Morning
Lyft,13.5,Night
Lyft,38.5,Morning
Lyft,10.5,Night
Lyft,19.5,Morning
Lyft,27.5,Morning
Lyft,13.5,Afternoon
Lyft,9.0,Evening
Lyft,19.5,Night
Lyft,38.5,Night
Lyft,27.5,Morning
Uber,7.5,Night
Uber,7.5,Afternoon
Uber,7.5,Morning
Uber,13.0,Afternoon
Uber,27.5,Evening
Uber,15.0,Night
Uber,8.0,Night
Uber,18.5,Evening
Uber,14.0,Afternoon
Uber,26.0,Morning
Uber,8.0,Morning
Uber,8.0,Morning
Uber,9.0,Afternoon
Uber,9.0,Evening
Uber,19.0,Morning
Uber,9.0,Night
Uber,16.0,Morning
Uber,31.5,Morning
Lyft,10.5,Afternoon
Lyft,7.0,Afternoon
Lyft,16.5,Afternoon
Lyft,22.5,Morning
Lyft,32.5,Night
Lyft,19.5,Morning
Lyft,22.5,Morning
Lyft,32.5,Night
Lyft,22.5,Morning
Lyft,13.5,Afternoon
Lyft,3.0,Night
Lyft,38.5,Morning
Lyft,22.5,Afternoon
Lyft,19.5,Morning
Lyft,7.0,Evening
Lyft,10.5,Morning
Lyft,16.5,Afternoon
Lyft,32.5,Afternoon
Lyft,3.0,Night
Lyft,10.5,Morning
Lyft,19.5,Afternoon
Lyft,16.5,Night
Lyft,22.5,Morning
Uber,27.5,Afternoon
Uber,8.5,Afternoon
Uber,8.5,Morning
Uber,7.5,Night
Uber,18.5,Evening
Uber,14.0,Evening
Uber,18.0,Afternoon
Uber,31.5,Morning
Uber,10.5,Evening
Uber,10.5,Morning
Uber,24.0,Morning
Uber,11.0,Morning
Uber,11.0,Evening
Uber,36.0,Afternoon
Uber,20.5,Morning
Uber,12.5,Afternoon
Uber,27.5,Evening
Uber,12.5,Evening
Lyft,22.5,Evening
Lyft,13.5,Morning
Lyft,45.5,Morning
Lyft,10.5,Night
Lyft,27.5,Morning
Lyft,32.5,Night
Uber,14.0,Night
Uber,16.0,Night
Uber,10.5,Evening
Uber,22.5,Afternoon
Uber,10.0,Morning
Uber,10.5,Afternoon
Lyft,22.5,Morning
Lyft,38.5,Morning
Lyft,27.5,Evening
Lyft,10.5,Evening
Lyft,3.0,Afternoon
Lyft,19.5,Morning
Lyft,10.5,Night
Lyft,16.5,Morning
Lyft,7.0,Morning
Lyft,22.5,Morning
Lyft,32.5,Evening
Uber,7.0,Evening
Lyft,13.5,Afternoon
Lyft,7.0,Night
Lyft,27.5,Morning
Uber,26.5,Night
Lyft,13.5,Morning
Lyft,7.0,Morning
Lyft,10.5,Afternoon
Lyft,22.5,Morning
Lyft,16.5,Morning
Lyft,27.5,Afternoon
Lyft,9.0,Night
Lyft,3.0,Afternoon
Lyft,10.5,Night
Lyft,16.5,Night
Lyft,30.0,Evening
Lyft,7.0,Afternoon
Lyft,22.5,Afternoon
Lyft,10.5,Afternoon
Lyft,45.5,Evening
Lyft,27.5,Morning
Lyft,10.5,Afternoon
Lyft,16.5,Evening
Uber,17.5,Evening
Uber,10.5,Morning
Uber,10.5,Morning
Uber,23.5,Morning
Uber,8.5,Morning
Uber,33.0,Night
Lyft,16.5,Afternoon
Lyft,19.5,Afternoon
Lyft,7.0,Night
Lyft,9.0,Evening
Lyft,13.5,Morning
Lyft,27.5,Evening
Lyft,26.0,Morning
Lyft,11.0,Afternoon
Lyft,7.0,Morning
Lyft,16.5,Morning
Lyft,9.0,Night
Uber,16.0,Afternoon
Uber,8.5,Morning
Uber,29.5,Morning
Uber,9.5,Evening
Uber,9.5,Night
Lyft,38.5,Night
Lyft,32.5,Morning
Lyft,22.5,Afternoon
Lyft,7.0,Night
Uber,35.0,Afternoon
Lyft,16.5,Evening
Lyft,9.0,Afternoon
Uber,8.5,Morning
Uber,26.0,Morning
Lyft,3.5,Night
Lyft,26.0,Night
Lyft,3.5,Afternoon
Uber,9.5,Morning
Lyft,11.0,Night
Lyft,7.0,Morning
Lyft,16.5,Morning
Uber,11.5,Morning
Uber,17.0,Morning
Uber,11.5,Morning
Lyft,11.0,Morning
Lyft,9.0,Morning
Lyft,26.0,Evening
Uber,19.5,Morning
Uber,21.0,Night
Uber,21.5,Afternoon
Uber,28.5,Night
Uber,12.0,Morning
Uber,12.0,Morning
Uber,24.0,Afternoon
Uber,30.5,Evening
Uber,10.0,Afternoon
Uber,9.5,Evening
Lyft,13.5,Morning
Lyft,9.0,Morning
Lyft,22.5,Morning
Lyft,30.0,Morning
Lyft,16.5,Night
Lyft,5.0,Evening
Lyft,7.0,Morning
Lyft,34.0,Morning
Lyft,26.0,Afternoon
Lyft,11.0,Morning
Uber,10.5,Morning
Uber,34.0,Afternoon
Uber,10.0,Night
Uber,10.5,Afternoon
Uber,25.5,Afternoon
Uber,17.0,Night
Uber,31.0,Morning
Uber,10.5,Evening
Uber,24.0,Morning
Uber,18.0,Evening
Uber,9.0,Morning
Uber,10.5,Afternoon
Uber,10.5,Evening
Uber,15.0,Morning
Uber,9.0,Afternoon
Uber,30.5,Night
Uber,10.5,Night
Uber,21.5,Morning
Lyft,16.5,Morning
Lyft,10.5,Evening
Lyft,32.5,Afternoon
Lyft,7.0,Evening
Lyft,22.5,Evening
Lyft,16.5,Afternoon
Lyft,7.0,Evening
Lyft,7.0,Morning
Lyft,26.0,Morning
Lyft,26.0,Morning
Lyft,16.5,Evening
Lyft,19.5,Evening
Lyft,22.5,Morning
Lyft,30.0,Morning
Lyft,9.0,Evening
Lyft,7.0,Evening
Uber,26.0,Morning
Uber,11.0,Morning
Uber,35.0,Evening
Uber,8.0,Evening
Uber,18.0,Morning
Uber,11.0,Morning
Uber,13.0,Evening
Uber,36.0,Afternoon
Uber,11.5,Evening
Uber,21.5,Afternoon
Uber,13.0,Evening
Uber,28.5,Afternoon
Uber,9.5,Morning
Uber,14.0,Morning
Uber,21.5,Night
Uber,7.0,Morning
Uber,29.5,Morning
